id,x,y,z,x_transformed,y_transformed
291,121.233,3.08731,6.21781,-1.112930913558167,121.95055011079718
292,126.823,3.16005,6.49347,-1.0900748743959356,127.54097663379824
293,126.819,2.87675,6.47527,-0.806884691611199,127.53213297084969
294,126.877,3.15754,6.20791,-1.0866418761051972,127.59492581935962
295,127.042,2.91125,6.29078,-0.8375664909941671,127.75569029501203
296,132.876,3.2465,6.67664,-1.0730098285921172,133.59456989620958
297,133.075,3.0693,6.68967,-0.8924329640696519,133.79051079546042
298,133.04,3.43937,6.53902,-1.2630473355868184,133.761843871577
299,133.272,3.27167,6.65027,-1.091404803347058,133.9909423899623
300,138.74,3.31387,6.88655,-1.0400993507995293,139.45886453558023
301,138.95,3.15826,6.94495,-0.880921236793587,139.66617300169173
302,138.88,3.5566,6.92864,-1.2803999525904628,139.6029945937878
303,139.119,3.38116,6.99523,-1.1008988564777409,139.83895973971897
304,144.685,3.43344,7.18343,-1.0579961932254398,145.40503991879348
305,144.884,3.24086,7.20876,-0.8620415773310844,145.60071782993748
306,144.879,3.64262,7.1451,-1.2638283349191675,145.6025883985289
307,145.092,3.44128,7.1879,-1.058875608783381,145.81211447244215
308,149.263,3.63197,7.49947,-1.178216312006561,149.98576532902496
309,149.333,3.35688,7.49459,-0.9019695764818224,150.05105123264838
310,149.47,3.69253,7.30575,-1.235227891003348,150.1937706016992
311,149.591,3.43138,7.37408,-0.9720470501909944,150.31028741391663
312,-0.145369,-1.19959,0.784211,1.0978502882834693,0.5166239649801485
313,-0.397673,-1.06666,0.735094,0.9606254871672341,0.26662987050067966
314,0.00638235,-0.999012,0.695978,0.8998964641984502,0.6717828829995125
315,-0.23762,-0.834263,0.655138,0.730999268044164,0.4306333092123232
316,4.46649,-0.952797,1.09724,0.9299531928994335,5.132028691121899
317,4.48648,-1.1498,0.880845,1.127269206278612,5.1486471439123305
318,4.6621,-0.801424,0.963369,0.7819471295156434,5.33019847295211
319,4.50934,-0.902113,0.715994,0.8800093105746103,5.175739090048518
320,10.4209,-0.792631,1.28322,0.8716271907460776,11.088306864035653
